id,name,type,symptom_keywords,cause_tags,diet_compatibility,lifestyle_tags,age_group_tags,gender_tags,food_sources,description,citation
76,Glucosamine,compound,"knee pain, cartilage loss, osteoarthritis, joint degeneration, mobility issues, sports injury, joint deterioration, cartilage degradation","joint,cartilage,aging","nonveg","sedentary|moderately_active","35-50|50-65","all","shellfish, bone broth, supplement form, glucosamine powder","Supports cartilage repair and joint cushioning","https://medlineplus.gov/druginfo/natural/807.html"
77,Chondroitin,compound,"osteoarthritis, joint swelling, cartilage loss, mobility issues, pain, aging joints, inflammation, joint degeneration, stiffness","joint,cartilage,inflammation","nonveg","sedentary|moderately_active","35-50|50-65","all","animal cartilage, bone broth, supplement form, shellfish","Reduces joint inflammation and improves mobility","https://medlineplus.gov/druginfo/natural/807.html"
78,Boswellia,herbal,"chronic arthritis pain, joint inflammation, joint stiffness, mobility issues, cartilage damage, pain, inflammatory arthritis, joint degradation","joint,inflammation,antioxidant","vegan|veg|nonveg","sedentary|moderately_active","35-50|50-65","all","boswellia resin, frankincense, supplement form, extract","Blocks inflammatory pathways in joints","https://medlineplus.gov/druginfo/natural/63.html"
79,Vitamin K2,vitamin,"arterial calcification, bone weakness, cardiovascular issues, osteoporosis, poor bone quality, vascular health, calcium metabolism","bone,cardiac,aging","veg|nonveg","sedentary","35-50|50-65","all","fermented foods, natto, cheese, egg yolks, grass-fed dairy","Directs calcium to bones and away from arteries","https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/"
80,Vitamin A Healing,vitamin,"slow wound healing, scar formation, poor skin repair, acne, skin texture, collagen issues, poor wound closure, skin regeneration","skin,healing,collagen","veg|nonveg","sedentary","18-24|25-34|35-50","all","carrots, sweet potatoes, dairy, kale, liver, orange vegetables","Promotes skin repair and collagen synthesis","https://ods.od.nih.gov/factsheets/VitaminA-HealthProfessional/"
81,Vitamin C Healing,vitamin,"non-healing wounds, bruising, poor scarring, collagen breakdown, slow healing, bleeding, slow recovery, poor tissue repair","skin,collagen,healing","vegan|veg|nonveg","active|moderately_active","18-24|25-34|35-50|50-65","all","citrus fruits, kiwi, peppers, strawberries, broccoli","Boosts collagen synthesis and wound healing","https://ods.od.nih.gov/factsheets/VitaminC-HealthProfessional/"
82,Vitamin K Gums,vitamin,"bleeding gums, easy bruising, gum disease, poor oral health, bleeding issues, bone health, gum bleeding, bleeding tendency","blood,oral,bone","veg|nonveg","sedentary","25-34|35-50|50-65","all","leafy greens, broccoli, cabbage, fermented foods","Supports blood clotting and gum health","https://ods.od.nih.gov/factsheets/VitaminK-HealthProfessional/"
83,Calcium Teeth,mineral,"tooth decay, weak enamel, dental issues, cavity formation, poor tooth structure, gum health, tooth sensitivity, cavity risk","oral,bone,deficiency","veg|nonveg","sedentary","25-34|35-50|50-65","all","milk, cheese, yogurt, leafy greens, fortified plant milk","Strengthens teeth and jawbone structure","https://ods.od.nih.gov/factsheets/Calcium-HealthProfessional/"
84,Fluoride,mineral,"cavity formation, enamel erosion, tooth decay, weak enamel, cavity risk, dental health, enamel protection, tooth sensitivity","oral,deficiency","vegan|veg|nonveg","sedentary","18-24|25-34|35-50","all","fluoridated water, tea, fluoride toothpaste, fish","Protects tooth enamel from decay","https://ods.od.nih.gov/factsheets/Fluoride-HealthProfessional/"
85,Potassium,mineral,"heart palpitations, muscle weakness, dehydration, fatigue, irregular heartbeat, cramping, muscle function, electrolyte imbalance","electrolyte,cardiac,hydration","vegan|veg|nonveg","active","18-24|25-34|35-50","all","bananas, potatoes, beans, avocado, spinach, coconut water","Maintains fluid balance and heart rhythm","https://ods.od.nih.gov/factsheets/Potassium-HealthProfessional/"
86,Electrolyte Mix,electrolyte,"heat exhaustion, muscle cramps, heavy sweating, dehydration, fatigue, dizziness, weakness, sports recovery, electrolyte loss","electrolyte,hydration,recovery","vegan|veg|nonveg","active","18-24|25-34|35-50","all","sports drinks, coconut water, fruits, electrolyte packets","Restores hydration and mineral balance after exertion","https://medlineplus.gov/fluidsandelectrolytes.html"
87,Electrolyte Solution,compound,"heat exhaustion, dehydration, heavy sweating, sports recovery, electrolyte depletion, hydration deficit, marathon recovery, athlete hydration","hydration,temperature,recovery","vegan|veg|nonveg","active","18-24|25-34|35-50","all","sports drinks, coconut water, electrolyte packets, fruits","Restores fluids and minerals after exertion","https://medlineplus.gov/fluidsandelectrolytes.html"
88,ORS (Oral Rehydration),compound,"diarrhea dehydration, vomiting, nausea, illness recovery, fluid loss, electrolyte imbalance, infection recovery, illness-related dehydration","hydration,digestive,infection","vegan|veg|nonveg","sedentary|moderately_active","18-24|25-34|35-50","all","ORS packets, coconut water, broths, electrolyte drinks","Prevents dehydration from illness and infections","https://medlineplus.gov/fluidsandelectrolytes.html"
89,Chromium,mineral,"high blood sugar, sugar cravings, insulin resistance, metabolic issues, weight gain, poor energy, diabetes risk, glucose control","metabolic,blood sugar","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","whole grains, broccoli, nutritional yeast, mushrooms","Improves insulin sensitivity and metabolism","https://ods.od.nih.gov/factsheets/Chromium-HealthProfessional/"
90,Berberine,alkaloid,"prediabetes, metabolic syndrome, high cholesterol, blood sugar spikes, weight gain, inflammation, glucose issues, lipid dysfunction","metabolic,blood sugar,cardiac","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","barberry, supplement form, tree turmeric","Regulates blood glucose and lipid metabolism","https://medlineplus.gov/druginfo/natural/1126.html"
91,Alpha-Lipoic Acid,antioxidant,"nerve pain, diabetic neuropathy, nerve damage, oxidative stress, blood sugar issues, metabolic dysfunction, peripheral neuropathy","neurological,antioxidant,metabolic","veg|nonveg","sedentary|moderately_active","35-50|50-65","all","spinach, broccoli, yeast, potatoes, supplement form","Protects nerves and improves glucose metabolism","https://medlineplus.gov/druginfo/natural/767.html"
92,Vitamin B1 Thiamine,vitamin,"peripheral neuropathy, memory loss, nerve pain, weakness, poor energy, neurological issues, nerve damage, fatigue","neurological,deficiency,energy","vegan|veg|nonveg","sedentary","25-34|35-50|50-65","all","whole grains, beans, pork, sunflower seeds, legumes","Supports nerve conduction and energy production","https://ods.od.nih.gov/factsheets/Thiamin-HealthProfessional/"
93,Acetyl L-Carnitine,amino acid,"brain fog, nerve degeneration, cognitive decline, poor memory, fatigue, neurological issues, aging brain, mental decline","neurological,cognition,energy","nonveg","active|moderately_active","35-50|50-65","all","meat, dairy, supplement form, carnitine powder","Supports nerve and brain energy metabolism","https://medlineplus.gov/druginfo/natural/1022.html"
94,Resveratrol,polyphenol,"chronic inflammation, cellular aging, antioxidant protection, heart health, cognitive aging, inflammation, oxidative stress, age-related decline","antioxidant,aging,cardiac","vegan|veg|nonveg","moderately_active","35-50|50-65","all","grapes, berries, red wine, peanuts, chocolate","Protects cells from oxidative damage and aging","https://medlineplus.gov/druginfo/natural/307.html"
95,Green Tea Extract,polyphenol,"cell damage, oxidative stress, poor immunity, inflammation, metabolic dysfunction, aging, weight management, antioxidant needs","antioxidant,metabolic,immunity","vegan|veg|nonveg","moderately_active","25-34|35-50|50-65","all","green tea, matcha, green tea supplement, green tea powder","Provides antioxidant protection and metabolic support","https://medlineplus.gov/druginfo/natural/960.html"
96,Weight Management Support,supplement,"weight gain, slow metabolism, poor energy, appetite control, fat burning issues, metabolic fatigue, obesity, sluggish metabolism","metabolic,weight,energy","vegan|veg|nonveg","moderately_active","25-34|35-50|50-65","all","green coffee extract, garcinia, CLA, supplement form","Supports healthy metabolism and weight management","https://medlineplus.gov/druginfo/natural/999.html"
97,Athletic Recovery,supplement,"muscle soreness, poor recovery, delayed onset muscle soreness, fatigue after exercise, joint soreness, inflammation, post-workout pain","recovery,muscle,inflammation","vegan|veg|nonveg","active","18-24|25-34|35-50","all","BCAA, L-glutamine, tart cherry, supplement form","Enhances muscle recovery and reduces soreness","https://medlineplus.gov/druginfo/natural/1023.html"
98,Hormonal Balance Female,supplement,"mood swings, irregular cycles, PMS, hormonal fluctuations, energy swings, menstrual issues, hormonal acne, period dysfunction","hormonal,reproductive,mood","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50","female","vitex, B6, magnesium, hormone balance supplement","Supports stable hormones and cycle regularity","https://medlineplus.gov/druginfo/natural/968.html"
99,Testosterone Support Male,supplement,"low energy, poor muscle growth, low libido, weak performance, hormonal imbalance, stamina issues, sexual dysfunction, muscle loss","hormonal,reproductive,muscle","vegan|veg|nonveg","active","25-34|35-50|50-65","male","zinc, tribulus, fenugreek, tongkat ali, supplement","Supports healthy testosterone and male vitality","https://medlineplus.gov/druginfo/natural/1066.html"
100,Thyroid Support,supplement,"sluggishness, weight gain, cold intolerance, poor metabolism, thyroid dysfunction, low energy, mood issues, fatigue","hormonal,thyroid,metabolism","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","iodine, selenium, L-tyrosine, thyroid supplement","Supports thyroid function and metabolism","https://medlineplus.gov/druginfo/natural/926.html"
101,Cognitive Enhancement,supplement,"brain fog, poor focus, slow thinking, age-related decline, memory issues, concentration problems, ADHD-like symptoms, mental fatigue","cognition,neurological,aging","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","lion's mane, bacopa, ginkgo, nootropic blend","Enhances mental clarity and cognitive performance","https://medlineplus.gov/druginfo/natural/1084.html"
102,Mood Emotional Support,supplement,"depression, anxiety, low mood, seasonal affective disorder, emotional stress, stress response, motivation loss, mental health","mood,stress,neurological","vegan|veg|nonveg","sedentary|moderately_active","25-34|35-50|50-65","all","5-HTP, magnesium, omega-3, B vitamins, mood blend","Supports emotional resilience and mood stability","https://medlineplus.gov/druginfo/natural/1040.html"
103,Post-Illness Recovery,supplement,"fatigue after illness, slow recovery, post-COVID symptoms, lingering weakness, energy depletion, immune support needed, recovery from infection","recovery,immunity,energy","vegan|veg|nonveg","sedentary|moderately_active","18-24|25-34|35-50|50-65","all","vitamin C, zinc, B vitamins, electrolytes, recovery blend","Accelerates recovery from infections and illness","https://medlineplus.gov/druginfo/natural/999.html"
104,Anti-Inflammatory Blend,supplement,"systemic inflammation, chronic pain, joint issues, autoimmune response, inflammatory conditions, tissue damage, inflammation throughout body","inflammation,antioxidant,immune","vegan|veg|nonveg","moderately_active","25-34|35-50|50-65","all","turmeric, ginger, boswellia, omega-3, anti-inflam blend","Comprehensively reduces systemic inflammation","https://medlineplus.gov/druginfo/natural/662.html"
